Date,beef,pork,chicken,milk,eggs,inf_rate,av_wage1,av_wage2,gas_price,emp_rate
2017/1/1,9.12,7.37,5.15,2.17,3.01,2.1,24.18,26.9,112.2,67.37368421
2017/2/1,9.48,7.28,4.99,2.34,3.04,2,24.18,26.9,106.5,67.47894737
2017/3/1,9.34,7.31,5.45,2.23,3.06,1.6,24.18,26.9,106,67.57894737
2017/4/1,9.79,7.77,5.59,2.33,3.09,1.6,24.18,26.9,116.1,67.85263158
2017/5/1,9.47,8.3,5.14,2.34,3.11,1.3,24.18,26.9,110.9,69.52631579
2017/6/1,9.18,7.8,5.58,2.34,3.15,1,24.18,26.9,106.5,70.26842105
2017/7/1,10.03,8.12,5.94,2.35,3.12,1.2,24.18,26.9,107,70.08421053
2017/8/1,9.79,7.98,6.21,2.35,3.11,1.4,24.18,26.9,109.7,69.89473684
2017/9/1,9.61,8.66,5.76,2.35,3.11,1.6,24.18,26.9,116,69.03684211
2017/10/1,9.13,6.87,5.81,2.35,3.13,1.4,24.18,26.9,112.4,69.22105263
2017/11/1,9.36,7.35,5.11,2.34,3.24,2.1,24.18,26.9,120.8,69.22105263
2017/12/1,9.06,9.63,5.13,2.36,3.15,1.9,24.18,26.9,116.9,69.13684211
2018/1/1,9.11,7.71,5.6,2.35,3.2,1.7,24.83,27.66,120.6,67.86842105
2018/2/1,9.41,8.69,5.19,2.36,3.26,2.2,24.83,27.66,119.7,67.95263158
2018/3/1,9.12,7.62,5.62,2.35,3.28,2.3,24.83,27.66,123.1,68.2
2018/4/1,9.09,7.91,5.48,2.35,3.27,2.2,24.83,27.66,131.6,68.44736842
2018/5/1,9.51,8.07,5.13,2.36,3.12,2.2,24.83,27.66,135.9,69.81578947
2018/6/1,8.95,7.89,5.19,2.37,3.39,2.5,24.83,27.66,132.9,70.51052632
2018/7/1,9.48,7.53,5.22,2.39,3.13,3,24.83,27.66,133.9,70.50526316
2018/8/1,9.07,7.96,5.44,2.4,3.36,2.8,24.83,27.66,131.8,70.18421053
2018/9/1,9.12,6.98,5.86,2.43,3.29,2.2,24.83,27.66,130.4,69.53684211
2018/10/1,9.46,7.55,5.48,2.43,3.23,2.4,24.83,27.66,125.9,69.64210526
2018/11/1,8.89,8.62,5.17,2.47,3.42,1.7,24.83,27.66,113.8,69.63684211
2018/12/1,8.44,9.22,5.93,2.48,3.42,2,24.83,27.66,106.4,69.42631579
2019/1/1,8.8,7.16,5.75,2.47,3.3,1.4,25.76,28.4,103.1,68.36842105
2019/2/1,9.04,8.06,5.19,2.47,3.38,1.5,25.76,28.4,105.1,68.64736842
2019/3/1,8.72,8.38,5.23,2.45,3.32,1.9,25.76,28.4,117.7,68.56315789
2019/4/1,9.15,8.48,5.5,2.46,3.37,2,25.76,28.4,129.5,69.26842105
2019/5/1,8.99,8.98,5.27,2.45,3.41,2.4,25.76,28.4,130.7,70.67368421
2019/6/1,9.31,8.81,5.24,2.49,3.47,2,25.76,28.4,119.9,71.25789474
2019/7/1,9.04,8.76,5.43,2.49,3.31,2,25.76,28.4,124.4,70.88421053
2019/8/1,9.59,8.6,5.23,2.5,3.35,1.9,25.76,28.4,117.9,70.82631579
2019/9/1,9.06,7.95,5.08,2.51,3.38,1.9,25.76,28.4,116.9,70.2
2019/10/1,9.28,7.95,5.74,2.49,3.43,1.9,25.76,28.4,117.2,70.08947368
2019/11/1,9.69,8.53,4.96,2.49,3.5,2.2,25.76,28.4,115,69.68421053
2019/12/1,9.98,8.41,5.77,2.49,3.6,2.2,25.76,28.4,114.5,69.54210526
2020/1/1,9.56,8.89,5.5,2.51,3.45,2.4,26.96,30.12,114.6,68.48947368
2020/2/1,9.48,7.87,5.37,2.54,3.58,2.2,26.96,30.12,112.2,68.68421053
2020/3/1,10.1,8.87,5.65,2.56,3.53,0.9,26.96,30.12,91.3,64.48947368
2020/4/1,10.54,9.79,5.32,2.57,3.71,-0.2,26.96,30.12,77.8,57.64210526
2020/5/1,11.79,9.25,5.44,2.56,3.7,-0.4,26.96,30.12,91.4,59.97894737
2020/6/1,11.18,10.58,5.35,2.56,3.7,0.7,26.96,30.12,101,64.54210526
2020/7/1,10.19,10.2,5.75,2.57,3.77,0.1,26.96,30.12,105.5,65.7
2020/8/1,9.22,9.35,6.08,2.56,3.82,0.1,26.96,30.12,104.6,66.45789474
2020/9/1,9.18,9.73,5.18,2.56,3.84,0.5,26.96,30.12,104.1,67.35263158
2020/10/1,9.25,10.52,5.73,2.56,3.85,0.7,26.96,30.12,102.6,67.66315789
2020/11/1,9.37,9.48,5.17,2.56,3.86,1,26.96,30.12,101.1,67.50526316
2020/12/1,10.07,10.29,6.54,2.58,3.85,0.7,26.96,30.12,104.4,67.00526316
2021/1/1,9.45,9.13,5.19,2.57,3.86,1,27.47,30.77,111,65.1
2021/2/1,9.27,8.46,5.55,2.63,3.91,1.1,27.47,30.77,118.2,66.29473684
2021/3/1,9.5,9.32,5.18,2.63,4.05,2.2,27.47,30.77,125,67.23157895
2021/4/1,9.19,10.03,6.2,2.64,4.07,3.4,27.47,30.77,127.5,66.85263158
2021/5/1,9.37,10.24,5.63,2.63,4,3.6,27.47,30.77,131.5,67.90526316
2021/6/1,9.1,11.73,5.13,2.64,4.05,3.1,27.47,30.77,133.7,69.64736842
2021/7/1,9.41,12.2,6.43,2.66,3.82,3.7,27.47,30.77,138.4,69.67368421
2021/8/1,9.88,13.32,6.18,2.66,4.13,4.1,27.47,30.77,139,69.64736842
2021/9/1,10.1,10.57,5.65,2.66,3.99,4.4,27.47,30.77,138.9,69.63684211
2021/10/1,10.07,11.69,6.17,2.65,4.17,4.7,27.47,30.77,146,69.83157895
2021/11/1,10.81,11.3,5.91,2.63,4.03,4.7,27.47,30.77,145.8,70.03157895
2021/12/1,10.32,10.87,6.61,2.64,3.95,4.8,27.47,30.77,140,69.92631579
2022/1/1,10.69,10.73,5.87,2.63,3.91,5.1,29,32.07,146.6,67.97894737
2022/2/1,10.29,10.82,5.65,2.77,4.07,5.7,29,32.07,156.8,69.46315789
2022/3/1,10.11,10.38,5.55,2.77,4.19,6.7,29,32.07,175.2,69.53157895
2022/4/1,10.82,11.44,5.66,2.78,4.04,6.8,29,32.07,173.8,69.87368421
2022/5/1,10.32,11.48,5.75,2.79,4.24,7.7,29,32.07,194.8,71.47368421
2022/6/1,10.28,11.39,5.93,2.79,4.19,8.1,29,32.07,207.2,71.73157895
2022/7/1,10.64,11.45,5.85,2.8,4.29,7.6,29,32.07,187.8,71.43684211
2022/8/1,10.47,10.79,6.08,2.82,4.39,7,29,32.07,169.6,70.97894737
2022/9/1,11.54,10.39,6.55,2.9,4.68,6.9,29,32.07,156.4,70.34210526
2022/10/1,10.22,10.33,5.94,2.89,4.52,6.9,29,32.07,171.5,70.62105263
2022/11/1,10.24,8.85,6.37,2.91,4.59,6.8,29,32.07,165.3,70.46315789
2022/12/1,10.92,10.05,6.58,2.91,4.36,6.3,29,32.07,143.6,70.4
2023/1/1,10.64,8.67,5.86,2.89,4.38,5.9,30.09,33.67,150.3,69.76315789
2023/2/1,9.92,9.01,6.39,2.95,4.52,5.2,30.09,33.67,148.5,69.97894737
2023/3/1,10.31,8.97,6.21,2.96,4.45,4.3,30.09,33.67,150.3,70.03157895
2023/4/1,11.12,8.64,5.96,2.97,4.5,4.4,30.09,33.67,160.1,70.16842105
2023/5/1,11.23,8.7,5.98,2.97,4.38,3.4,30.09,33.67,158.8,71.37894737
2023/6/1,11.5,8.16,6.14,2.98,4.57,2.8,30.09,33.67,161.6,71.84736842
2023/7/1,11.19,8.86,6.99,3,4.71,3.3,30.09,33.67,163.1,71.38421053
2023/8/1,11.45,9.4,6.98,3,4.62,4,30.09,33.67,170.6,70.95263158
2023/9/1,11.69,8.89,6.16,2.99,4.48,3.8,30.09,33.67,168.3,70.33684211
2023/10/1,11.82,8.72,6.74,2.96,4.47,3.1,30.09,33.67,157.4,70.35263158
2023/11/1,11.72,9.21,5.9,2.94,4.65,3.1,30.09,33.67,152.2,70.08947368
2023/12/1,12.71,9.71,6.47,2.96,4.41,3.4,30.09,33.67,145.4,69.78947368
